             f                  xj                  yj                  zj               Zxx_real            Zxx_imag            Error              Zxy_real            Zxy_imag              Error              Zyx_real            Zyx_imag             Error              Zyy_real            Zyy_imag             Error
    1.0000000000E+02   -2.0000000000E+04   -2.0000000000E+04    0.0000000000E+00   -5.3896861962E-03    1.0242478627E-02    8.5648424652E-03    2.0042430853E-01   -2.0065418760E-01    8.5648424652E-03   -1.9721280031E-01    2.0888250521E-01    8.5648424652E-03    1.7835978621E-02    3.2350406054E-03    8.5648424652E-03
    1.0000000000E+02   -1.7500000000E+04   -2.0000000000E+04    0.0000000000E+00   -1.3458417040E-02   -5.7690821482E-03    8.5648424661E-03    2.0288927732E-01   -2.0580884054E-01    8.5648424661E-03   -1.9327012670E-01    2.0292112000E-01    8.5648424661E-03   -1.4541798591E-03   -2.1191370650E-03    8.5648424661E-03
    1.0000000000E+02   -1.5000000000E+04   -2.0000000000E+04    0.0000000000E+00    6.8973316064E-03   -4.3445786961E-03    8.5648424683E-03    2.0619027837E-01   -2.1156246119E-01    8.5648424683E-03   -2.0037350627E-01    2.0248045431E-01    8.5648424683E-03   -5.7482553080E-03    6.7097719847E-03    8.5648424683E-03
    1.0000000000E+02   -1.2500000000E+04   -2.0000000000E+04    0.0000000000E+00   -3.3298295224E-03   -3.3695801924E-04    8.5648424697E-03    1.9880275705E-01   -2.1180635372E-01    8.5648424697E-03   -2.0304868065E-01    2.0358669280E-01    8.5648424697E-03    1.4386466391E-03    4.2514786385E-04    8.5648424697E-03
    1.0000000000E+02   -1.0000000000E+04   -2.0000000000E+04    0.0000000000E+00    3.8936673549E-03    2.7125928112E-02    8.5648424730E-03    2.0097858081E-01   -2.0291314221E-01    8.5648424730E-03   -1.8633832685E-01    2.1291175376E-01    8.5648424730E-03   -2.8685410706E-03    3.5578007696E-03    8.5648424730E-03
    1.0000000000E+02   -7.5000000000E+03   -2.0000000000E+04    0.0000000000E+00   -1.8661169204E-02    7.5120161282E-03    8.5648424744E-03    1.9367235585E-01   -2.0995281962E-01    8.5648424744E-03   -1.9148291136E-01    2.0327091672E-01    8.5648424744E-03   -4.8985362994E-03   -9.4451240531E-04    8.5648424744E-03
    1.0000000000E+02   -5.0000000000E+03   -2.0000000000E+04    0.0000000000E+00    3.4209376937E-03    2.7827195452E-03    8.5648424776E-03    1.9846749298E-01   -2.1084863823E-01    8.5648424776E-03   -1.8874765019E-01    2.0647153702E-01    8.5648424776E-03   -6.4751602612E-03   -6.9380232954E-03    8.5648424776E-03
    1.0000000000E+02   -2.5000000000E+03   -2.0000000000E+04    0.0000000000E+00    3.9726043952E-03    2.1205351548E-03    8.5648424781E-03    2.0193902706E-01   -2.0090677487E-01    8.5648424781E-03   -1.9514360738E-01    2.0323071576E-01    8.5648424781E-03   -1.3451366135E-03   -6.8085612409E-03    8.5648424781E-03
    1.0000000000E+02    0.0000000000E+00   -2.0000000000E+04    0.0000000000E+00   -6.8178296168E-03    5.9564119246E-03    8.5648424788E-03    1.9666580754E-01   -1.9951810208E-01    8.5648424788E-03   -1.9647908721E-01    2.0724889170E-01    8.5648424788E-03    5.9701715755E-03   -3.7030072054E-03    8.5648424788E-03
    1.0000000000E+02    2.5000000000E+03   -2.0000000000E+04    0.0000000000E+00    1.5642423003E-04    1.2102134032E-02    8.5648424781E-03    1.9712094666E-01   -2.0188615236E-01    8.5648424781E-03   -2.1127763455E-01    2.1768375666E-01    8.5648424781E-03    2.0864652153E-03   -1.0761082894E-02    8.5648424781E-03
    1.0000000000E+02    5.0000000000E+03   -2.0000000000E+04    0.0000000000E+00    8.0093051349E-03   -2.4222669817E-03    8.5648424758E-03    1.9669576094E-01   -1.9707197813E-01    8.5648424758E-03   -2.0120118472E-01    2.0218274676E-01    8.5648424758E-03   -9.0545741415E-03   -1.0050400262E-02    8.5648424758E-03
    1.0000000000E+02    7.5000000000E+03   -2.0000000000E+04    0.0000000000E+00   -3.7504069762E-03    1.0113432794E-02    8.5648424744E-03    1.9477669733E-01   -1.9689378354E-01    8.5648424744E-03   -1.8215586963E-01    2.1136089237E-01    8.5648424744E-03    5.8241769219E-03    4.1086630381E-03    8.5648424744E-03
    1.0000000000E+02    1.0000000000E+04   -2.0000000000E+04    0.0000000000E+00   -2.2338926114E-03    6.5607800462E-03    8.5648424709E-03    1.9895836658E-01   -2.0515471831E-01    8.5648424709E-03   -1.9171659061E-01    2.0269006058E-01    8.5648424709E-03    3.3935220675E-03   -5.5387901832E-03    8.5648424709E-03
    1.0000000000E+02    1.2500000000E+04   -2.0000000000E+04    0.0000000000E+00    4.4404087370E-03    1.7433801199E-03    8.5648424697E-03    2.0820642830E-01   -2.0008909166E-01    8.5648424697E-03   -1.9555570493E-01    2.1080970206E-01    8.5648424697E-03    7.9378656661E-03    5.5875413609E-03    8.5648424697E-03
    1.0000000000E+02    1.5000000000E+04   -2.0000000000E+04    0.0000000000E+00    4.5959717450E-03   -2.1859323396E-03    8.5648424672E-03    1.9476939623E-01   -2.0105276531E-01    8.5648424672E-03   -1.9464665033E-01    2.0657701942E-01    8.5648424672E-03    4.1030071325E-03    7.0276932727E-03    8.5648424672E-03
    1.0000000000E+02    1.7500000000E+04   -2.0000000000E+04    0.0000000000E+00    8.6981179676E-03   -1.2454295808E-03    8.5648424661E-03    1.9338926469E-01   -1.9829957178E-01    8.5648424661E-03   -2.0379725010E-01    2.1247989679E-01    8.5648424661E-03   -5.7045215389E-03    3.5983371561E-03    8.5648424661E-03
    1.0000000000E+02    2.0000000000E+04   -2.0000000000E+04    0.0000000000E+00   -1.2377792600E-03   -8.0254008960E-03    8.5648424646E-03    2.0192757700E-01   -1.9941559589E-01    8.5648424646E-03   -2.0167108500E-01    1.8834994636E-01    8.5648424646E-03    4.7428333312E-03    3.6554167416E-03    8.5648424646E-03
    1.0000000000E+02   -2.0000000000E+04   -1.7500000000E+04    0.0000000000E+00   -1.8868029592E-02   -6.1513717730E-03    8.5648424661E-03    1.9288746766E-01   -2.0585424455E-01    8.5648424661E-03   -1.9409186468E-01    2.0394466371E-01    8.5648424661E-03   -1.8698375359E-03    1.3209277260E-02    8.5648424661E-03
    1.0000000000E+02   -1.7500000000E+04   -1.7500000000E+04    0.0000000000E+00    4.5958496335E-03   -1.9132204314E-03    8.5648424679E-03    1.9161419919E-01   -2.0980502888E-01    8.5648424679E-03   -1.9363900915E-01    1.9728192863E-01    8.5648424679E-03    7.9208674762E-04   -1.3886199367E-03    8.5648424679E-03
    1.0000000000E+02   -1.5000000000E+04   -1.7500000000E+04    0.0000000000E+00    1.3172877494E-02   -1.6697175541E-03    8.5648424715E-03    2.0127688253E-01   -2.0070823122E-01    8.5648424715E-03   -2.0089066675E-01    1.9947062187E-01    8.5648424715E-03    2.7764524416E-04    3.2352171446E-03    8.5648424715E-03
    1.0000000000E+02   -1.2500000000E+04   -1.7500000000E+04    0.0000000000E+00    5.7278812076E-04   -1.4810654422E-03    8.5648424748E-03    1.9389234699E-01   -1.9246638318E-01    8.5648424748E-03   -1.9816370216E-01    1.9821428073E-01    8.5648424748E-03    4.5894483730E-03    2.2912826023E-03    8.5648424748E-03
    1.0000000000E+02   -1.0000000000E+04   -1.7500000000E+04    0.0000000000E+00    6.9977356357E-05    2.7060004206E-03    8.5648424826E-03    2.0155219088E-01   -1.9998718414E-01    8.5648424826E-03   -1.9652059565E-01    1.9916382839E-01    8.5648424826E-03   -1.3085250463E-03    7.5745883358E-03    8.5648424826E-03
    1.0000000000E+02   -7.5000000000E+03   -1.7500000000E+04    0.0000000000E+00   -3.6352341651E-03   -3.7754711646E-03    8.5648424878E-03    1.9965619353E-01   -2.0048701948E-01    8.5648424878E-03   -1.8865620955E-01    2.0639743001E-01    8.5648424878E-03    1.2624007469E-04    1.4150055684E-03    8.5648424878E-03
    1.0000000000E+02   -5.0000000000E+03   -1.7500000000E+04    0.0000000000E+00   -3.3624275461E-03    2.0354402677E-03    8.5648424961E-03    1.9469461731E-01   -2.1239348495E-01    8.5648424961E-03   -1.8917304463E-01    2.1107426909E-01    8.5648424961E-03   -5.1340834409E-04   -1.0387152722E-02    8.5648424961E-03
    1.0000000000E+02   -2.5000000000E+03   -1.7500000000E+04    0.0000000000E+00    8.0584560624E-05    9.4321037159E-03    8.5648424988E-03    2.0416886325E-01   -2.0007030633E-01    8.5648424988E-03   -2.0236554394E-01    1.9623287067E-01    8.5648424988E-03   -1.1130249363E-03   -1.1570922765E-02    8.5648424988E-03
    1.0000000000E+02    0.0000000000E+00   -1.7500000000E+04    0.0000000000E+00   -4.0825433495E-03   -3.3031067460E-03    8.5648425003E-03    2.0543317348E-01   -2.0696521658E-01    8.5648425003E-03   -1.9904347430E-01    2.1357279651E-01    8.5648425003E-03    6.1309165384E-03   -7.6778344307E-03    8.5648425003E-03
    1.0000000000E+02    2.5000000000E+03   -1.7500000000E+04    0.0000000000E+00   -5.8842365571E-04   -9.9597806877E-03    8.5648424987E-03    1.9640918186E-01   -2.0215887556E-01    8.5648424987E-03   -1.9917253131E-01    2.0696708071E-01    8.5648424987E-03    6.6540063723E-03    1.2680891550E-02    8.5648424987E-03
    1.0000000000E+02    5.0000000000E+03   -1.7500000000E+04    0.0000000000E+00   -6.4885699989E-03    6.6374552869E-03    8.5648424920E-03    1.9127144476E-01   -2.0926756615E-01    8.5648424920E-03   -1.8975675321E-01    2.0136271921E-01    8.5648424920E-03   -4.1279332704E-03   -1.3735254125E-02    8.5648424920E-03
    1.0000000000E+02    7.5000000000E+03   -1.7500000000E+04    0.0000000000E+00   -4.9127902267E-03   -1.6281615956E-03    8.5648424878E-03    2.0182672210E-01   -2.0989469773E-01    8.5648424878E-03   -1.9347592226E-01    1.9462994710E-01    8.5648424878E-03    6.7521378701E-03   -7.9020543590E-03    8.5648424878E-03
    1.0000000000E+02    1.0000000000E+04   -1.7500000000E+04    0.0000000000E+00   -5.6899390834E-03    3.9093928054E-03    8.5648424786E-03    2.0648641090E-01   -2.1344810704E-01    8.5648424786E-03   -2.0461212742E-01    2.0727813898E-01    8.5648424786E-03   -6.5980235990E-03    2.8073270952E-03    8.5648424786E-03
    1.0000000000E+02    1.2500000000E+04   -1.7500000000E+04    0.0000000000E+00   -4.8741895647E-03   -4.4478989395E-03    8.5648424748E-03    1.9436223117E-01   -2.1912859436E-01    8.5648424748E-03   -2.0517903932E-01    2.1801633107E-01    8.5648424748E-03   -4.2944888793E-04   -9.8309055415E-04    8.5648424748E-03
    1.0000000000E+02    1.5000000000E+04   -1.7500000000E+04    0.0000000000E+00   -2.2349008283E-03    7.1156550110E-03    8.5648424699E-03    1.9929325463E-01   -2.1431827471E-01    8.5648424699E-03   -1.8884526318E-01    1.9636454442E-01    8.5648424699E-03   -2.0148626388E-03   -6.6377917887E-03    8.5648424699E-03
    1.0000000000E+02    1.7500000000E+04   -1.7500000000E+04    0.0000000000E+00    6.3545639749E-03    6.8813512401E-03    8.5648424679E-03    1.8993874515E-01   -2.1105936780E-01    8.5648424679E-03   -1.9671385956E-01    2.1773861164E-01    8.5648424679E-03   -7.4135715503E-03   -4.1115297907E-03    8.5648424679E-03
    1.0000000000E+02    2.0000000000E+04   -1.7500000000E+04    0.0000000000E+00   -3.3596181763E-03   -9.5145389069E-03    8.5648424656E-03    1.9125976619E-01   -2.1128054939E-01    8.5648424656E-03   -2.0213064337E-01    2.0355475258E-01    8.5648424656E-03   -5.2681632551E-03    1.5016389911E-03    8.5648424656E-03
    1.0000000000E+02   -2.0000000000E+04   -1.5000000000E+04    0.0000000000E+00   -1.4522695592E-02    5.7498364071E-03    8.5648424681E-03    2.0209110231E-01   -2.0173462696E-01    8.5648424681E-03   -1.9688922667E-01    2.0999984905E-01    8.5648424681E-03    8.4196989119E-04    9.8993108064E-03    8.5648424681E-03
    1.0000000000E+02   -1.7500000000E+04   -1.5000000000E+04    0.0000000000E+00   -5.8301468798E-03    6.5957228535E-04    8.5648424712E-03    2.0065690523E-01   -2.0629423360E-01    8.5648424712E-03   -1.9515438230E-01    2.0748612966E-01    8.5648424712E-03    1.9723478922E-03   -2.3389656635E-03    8.5648424712E-03
    1.0000000000E+02   -1.5000000000E+04   -1.5000000000E+04    0.0000000000E+00   -4.5817053497E-03    3.0542063178E-03    8.5648424782E-03    1.9239392025E-01   -2.1148063718E-01    8.5648424782E-03   -1.9919838701E-01    2.0526132153E-01    8.5648424782E-03   -5.8234030932E-03   -4.6427672801E-03    8.5648424782E-03
