             f                  xj                  yj                  zj               Zxx_real            Zxx_imag            Error              Zxy_real            Zxy_imag              Error              Zyx_real            Zyx_imag             Error              Zyy_real            Zyy_imag             Error
    1.0000000000E+01   -3.5000000000E+04   -3.5000000000E+04    0.0000000000E+00   -1.6293139578E-03    3.4726941151E-03    2.8385947377E-03    6.3317688406E-02   -6.9467095975E-02    2.8385947377E-03   -6.2129842128E-02    7.2142631153E-02    2.8385947377E-03    5.9540878046E-03    8.0095162267E-04    2.8385947377E-03
    1.0000000000E+01   -3.0625000000E+04   -3.5000000000E+04    0.0000000000E+00   -4.5431479836E-03   -1.7061743606E-03    2.8385942137E-03    6.4055723924E-02   -7.1211012551E-02    2.8385942137E-03   -6.0914780783E-02    7.0109206324E-02    2.8385942137E-03   -5.1353050392E-04   -6.7962359740E-04    2.8385942137E-03
    1.0000000000E+01   -2.6250000000E+04   -3.5000000000E+04    0.0000000000E+00    2.2177566975E-03   -1.5426603553E-03    2.8385923589E-03    6.5061478575E-02   -7.3165854975E-02    2.8385923589E-03   -6.3273312929E-02    7.0070674491E-02    2.8385923589E-03   -1.8015249591E-03    2.3083523348E-03    2.8385923589E-03
    1.0000000000E+01   -2.1875000000E+04   -3.5000000000E+04    0.0000000000E+00   -1.1073102836E-03   -6.1106802222E-05    2.8386001881E-03    6.2611849709E-02   -7.3134929608E-02    2.8386001881E-03   -6.4142048716E-02    7.0478210492E-02    2.8386001881E-03    4.8264919445E-04    1.1897602784E-04    2.8386001881E-03
    1.0000000000E+01   -1.7500000000E+04   -3.5000000000E+04    0.0000000000E+00    1.6933087250E-03    8.9322305316E-03    2.8382680642E-03    6.3464843999E-02   -7.0216921793E-02    2.8382680642E-03   -5.8468609754E-02    7.3291734537E-02    2.8382680642E-03   -8.9303650453E-04    1.2134710853E-03    2.8382680642E-03
    1.0000000000E+01   -1.3125000000E+04   -3.5000000000E+04    0.0000000000E+00   -5.8831541239E-03    2.7249144291E-03    2.8431404648E-03    6.1074275264E-02   -7.2522650298E-02    2.8431404648E-03   -6.0446058690E-02    7.0290288240E-02    2.8431404648E-03   -1.7320787974E-03   -2.0631932863E-04    2.8431404648E-03
    1.0000000000E+01   -8.7500000000E+03   -3.5000000000E+04    0.0000000000E+00    9.7534431447E-04    9.7645368907E-04    2.8477327720E-03    6.2675161694E-02   -7.3253748647E-02    2.8477327720E-03   -5.9340146774E-02    7.1455434953E-02    2.8477327720E-03   -2.1873364400E-03   -2.3000204855E-03    2.8477327720E-03
    1.0000000000E+01   -4.3750000000E+03   -3.5000000000E+04    0.0000000000E+00    1.3315809528E-03    5.9845893275E-04    2.8388739767E-03    6.3835590567E-02   -6.9555182539E-02    2.8388739767E-03   -6.1600951782E-02    7.0201921313E-02    2.8388739767E-03   -5.2056285254E-04   -2.1996712316E-03    2.8388739767E-03
    1.0000000000E+01    0.0000000000E+00   -3.5000000000E+04    0.0000000000E+00   -2.1658167392E-03    2.0751704444E-03    2.8385006612E-03    6.2089543165E-02   -6.9033661891E-02    2.8385006612E-03   -6.1906563468E-02    7.1588142150E-02    2.8385006612E-03    1.9188054629E-03   -1.3157232444E-03    2.8385006612E-03
    1.0000000000E+01    4.3750000000E+03   -3.5000000000E+04    0.0000000000E+00    2.3480167799E-04    4.0042186856E-03    2.8385985758E-03    6.2205310919E-02   -6.9825067363E-02    2.8385985758E-03   -6.6653583347E-02    7.5269382076E-02    2.8385985758E-03    5.2802199992E-04   -3.5941757423E-03    2.8385985758E-03
    1.0000000000E+01    8.7500000000E+03   -3.5000000000E+04    0.0000000000E+00    2.6150196053E-03   -9.2333135313E-04    2.8385935835E-03    6.2137485801E-02   -6.8224647636E-02    2.8385935835E-03   -6.3551792084E-02    6.9984752771E-02    2.8385935835E-03   -3.1499431432E-03   -3.1902859982E-03    2.8385935835E-03
    1.0000000000E+01    1.3125000000E+04   -3.5000000000E+04    0.0000000000E+00   -1.0885365223E-03    3.4050949016E-03    2.8385946784E-03    6.1504828699E-02   -6.8136596008E-02    2.8385946784E-03   -5.7107306883E-02    7.2735154903E-02    2.8385946784E-03    1.9904747035E-03    1.2721221506E-03    2.8385946784E-03
    1.0000000000E+01    1.7500000000E+04   -3.5000000000E+04    0.0000000000E+00   -6.4024608020E-04    2.2059432602E-03    2.8385949242E-03    6.2764200986E-02   -7.0934926359E-02    2.8385949242E-03   -6.0403938509E-02    7.0009234473E-02    2.8385949242E-03    1.0396510237E-03   -1.8851452454E-03    2.8385949242E-03
    1.0000000000E+01    2.1875000000E+04   -3.5000000000E+04    0.0000000000E+00    1.4965213220E-03    5.0995024409E-04    2.8385950334E-03    6.5902737540E-02   -6.9397844365E-02    2.8385950334E-03   -6.1552030401E-02    7.2755616082E-02    2.8385950334E-03    2.7126614323E-03    1.7297198759E-03    2.8385950334E-03
    1.0000000000E+01    2.6250000000E+04   -3.5000000000E+04    0.0000000000E+00    1.4885255160E-03   -7.9331119407E-04    2.8385950871E-03    6.1439440421E-02   -6.9513425401E-02    2.8385950871E-03   -6.1315153507E-02    7.1340510115E-02    2.8385950871E-03    1.4648313844E-03    2.2645884862E-03    2.8385950871E-03
    1.0000000000E+01    3.0625000000E+04   -3.5000000000E+04    0.0000000000E+00    2.8608971221E-03   -5.4404626338E-04    2.8385951173E-03    6.1024199456E-02   -6.8581004101E-02    2.8385951173E-03   -6.4255331110E-02    7.3433389075E-02    2.8385951173E-03   -1.8341541476E-03    1.2777121021E-03    2.8385951173E-03
    1.0000000000E+01    3.5000000000E+04   -3.5000000000E+04    0.0000000000E+00   -5.3132488860E-04   -2.6382915606E-03    2.8385951355E-03    6.3834147603E-02   -6.9079784897E-02    2.8385951355E-03   -6.3916789337E-02    6.5412300957E-02    2.8385951355E-03    1.6255994425E-03    1.1384111960E-03    2.8385951355E-03
    1.0000000000E+01   -3.5000000000E+04   -3.0625000000E+04    0.0000000000E+00   -6.3399401944E-03   -1.7508587056E-03    2.8385945971E-03    6.0743665852E-02   -7.1074601588E-02    2.8385945971E-03   -6.1171336757E-02    7.0460545530E-02    2.8385945971E-03   -4.1903580594E-04    4.4015963361E-03    2.8385945971E-03
    1.0000000000E+01   -3.0625000000E+04   -3.0625000000E+04    0.0000000000E+00    1.4925923114E-03   -7.0296865193E-04    2.8385934405E-03    6.0262277863E-02   -7.2363344922E-02    2.8385934405E-03   -6.1122275387E-02    6.8247726105E-02    2.8385934405E-03    2.4123728837E-04   -4.7178045317E-04    2.8385934405E-03
    1.0000000000E+01   -2.6250000000E+04   -3.0625000000E+04    0.0000000000E+00    4.3359668645E-03   -7.5204874363E-04    2.8385918942E-03    6.3599168090E-02   -6.9497866213E-02    2.8385918942E-03   -6.3490292158E-02    6.9081756136E-02    2.8385918942E-03    1.4089675750E-04    1.0667089412E-03    2.8385918942E-03
    1.0000000000E+01   -2.1875000000E+04   -3.0625000000E+04    0.0000000000E+00    1.6692897476E-04   -4.9968000456E-04    2.8386093322E-03    6.1278464171E-02   -6.6658506380E-02    2.8386093322E-03   -6.2604183496E-02    6.8627592615E-02    2.8386093322E-03    1.5544954410E-03    6.8955306386E-04    2.8386093322E-03
    1.0000000000E+01   -1.7500000000E+04   -3.0625000000E+04    0.0000000000E+00    5.0754683041E-05    9.1251398728E-04    2.8373367071E-03    6.3695164968E-02   -6.9239744395E-02    2.8373367071E-03   -6.2049183238E-02    6.8830401974E-02    2.8373367071E-03   -3.1282125832E-04    2.5126118974E-03    2.8373367071E-03
