             f                  xj                  yj                  zj               Zxx_real            Zxx_imag            Error              Zxy_real            Zxy_imag              Error              Zyx_real            Zyx_imag             Error              Zyy_real            Zyy_imag             Error
    1.0000000000E-01   -2.0000000000E+05   -2.0000000000E+05    0.0000000000E+00   -1.6859727252E-04    3.2729927889E-04    2.7105197071E-04    6.3417590963E-03   -6.3511894408E-03    2.7105197071E-04   -6.2400801288E-03    6.6115741311E-03    2.7105197071E-04    5.6255809322E-04    9.9157512497E-05    2.7105197071E-04
    1.0000000000E-01   -1.7500000000E+05   -2.0000000000E+05    0.0000000000E+00   -4.2227511789E-04   -1.7948080157E-04    2.7129742137E-04    6.4334658896E-03   -6.5125506381E-03    2.7129742137E-04   -6.1227397873E-03    6.4269077044E-03    2.7129742137E-04   -5.4474001781E-05   -7.1080407881E-05    2.7129742137E-04
    1.0000000000E-01   -1.5000000000E+05   -2.0000000000E+05    0.0000000000E+00    2.2018660315E-04   -1.3563094973E-04    2.7165159597E-04    6.5634484017E-03   -6.6914929022E-03    2.7165159597E-04   -6.3553179589E-03    6.4173324512E-03    2.7165159597E-04   -1.8812081722E-04    2.0787094114E-04    2.7165159597E-04
    1.0000000000E-01   -1.2500000000E+05   -2.0000000000E+05    0.0000000000E+00   -1.0541433245E-04   -1.0702423424E-05    2.7171859225E-04    6.3342539519E-03   -6.6966696739E-03    2.7171859225E-04   -6.4448081357E-03    6.4521427028E-03    2.7171859225E-04    4.4937433553E-05    1.2642477391E-05    2.7171859225E-04
    1.0000000000E-01   -1.0000000000E+05   -2.0000000000E+05    0.0000000000E+00    1.2085233336E-04    8.5753991094E-04    2.7172201844E-04    6.3979455430E-03   -6.4190462737E-03    2.7172201844E-04   -5.9132409377E-03    6.7512112176E-03    2.7172201844E-04   -8.9022683154E-05    1.1802584536E-04    2.7172201844E-04
    1.0000000000E-01   -7.5000000000E+04   -2.0000000000E+05    0.0000000000E+00   -5.9745688875E-04    2.3106872995E-04    2.7144708684E-04    6.1475316896E-03   -6.6483610144E-03    2.7144708684E-04   -6.0631108950E-03    6.4444163555E-03    2.7144708684E-04   -1.4274635137E-04   -2.2012674193E-05    2.7144708684E-04
    1.0000000000E-01   -5.0000000000E+04   -2.0000000000E+05    0.0000000000E+00    9.8926859614E-05    7.9463773677E-05    2.7074950233E-04    6.2572525933E-03   -6.6802755873E-03    2.7074950233E-04   -5.9580509210E-03    6.5353064674E-03    2.7074950233E-04   -1.9231334252E-04   -2.1233788377E-04    2.7074950233E-04
    1.0000000000E-01   -2.5000000000E+04   -2.0000000000E+05    0.0000000000E+00    1.2072775906E-04    6.0644286576E-05    2.7035833832E-04    6.3537775743E-03   -6.3693074553E-03    2.7035833832E-04   -6.1415063255E-03    6.4259702552E-03    2.7035833832E-04   -3.9404303941E-05   -2.1083200008E-04    2.7035833832E-04
    1.0000000000E-01    0.0000000000E+00   -2.0000000000E+05    0.0000000000E+00   -2.1365617531E-04    1.9003421704E-04    2.7024047911E-04    6.1842256385E-03   -6.3269821925E-03    2.7024047911E-04   -6.1743215022E-03    6.5518331221E-03    2.7024047911E-04    1.8795272390E-04   -1.1751271040E-04    2.7024047911E-04
    1.0000000000E-01    2.5000000000E+04   -2.0000000000E+05    0.0000000000E+00    1.0980812328E-05    3.8790894408E-04    2.7035833832E-04    6.2015959885E-03   -6.3997576167E-03    2.7035833832E-04   -6.6493973952E-03    6.8837500857E-03    2.7035833832E-04    6.1110135970E-05   -3.4384137831E-04    2.7035833832E-04
    1.0000000000E-01    5.0000000000E+04   -2.0000000000E+05    0.0000000000E+00    2.6310097566E-04   -6.8422754687E-05    2.7086800292E-04    6.2144046250E-03   -6.2435148882E-03    2.7086800292E-04   -6.3519710280E-03    6.4004024756E-03    2.7086800292E-04   -2.9957443241E-04   -3.2404425167E-04    2.7086800292E-04
    1.0000000000E-01    7.5000000000E+04   -2.0000000000E+05    0.0000000000E+00   -1.1300138380E-04    3.2732896232E-04    2.7144708684E-04    6.1824101183E-03   -6.2344683739E-03    2.7144708684E-04   -5.7675826724E-03    6.7009002858E-03    2.7144708684E-04    1.7205336592E-04    1.2230328629E-04    2.7144708684E-04
    1.0000000000E-01    1.0000000000E+05   -2.0000000000E+05    0.0000000000E+00   -7.1130106502E-05    2.0972056491E-04    2.7172983282E-04    6.3376255699E-03   -6.4874497198E-03    2.7172983282E-04   -6.0832652242E-03    6.4266718812E-03    2.7172983282E-04    1.0583748868E-04   -1.8081849819E-04    2.7172983282E-04
    1.0000000000E-01    1.2500000000E+05   -2.0000000000E+05    0.0000000000E+00    1.4054424262E-04    5.5402199529E-05    2.7171859225E-04    6.6317254773E-03   -6.3242533434E-03    2.7171859225E-04   -6.2076239354E-03    6.6818398724E-03    2.7171859225E-04    2.5209020568E-04    1.7879546245E-04    2.7171859225E-04
    1.0000000000E-01    1.5000000000E+05   -2.0000000000E+05    0.0000000000E+00    1.4350872640E-04   -7.1625450707E-05    2.7160430428E-04    6.1943745127E-03   -6.3605263220E-03    2.7160430428E-04   -6.1739197726E-03    6.5475463350E-03    2.7160430428E-04    1.3519990590E-04    2.2766864080E-04    2.7160430428E-04
    1.0000000000E-01    1.7500000000E+05   -2.0000000000E+05    0.0000000000E+00    2.7161941483E-04   -4.2797052904E-05    2.7129742137E-04    6.1324070705E-03   -6.2748654969E-03    2.7129742137E-04   -6.4563710708E-03    6.7294933959E-03    2.7129742137E-04   -1.7231030630E-04    1.1780233181E-04    2.7129742137E-04
    1.0000000000E-01    2.0000000000E+05   -2.0000000000E+05    0.0000000000E+00   -3.9882608351E-05   -2.5630245601E-04    2.7103747336E-04    6.3866046506E-03   -6.3133518738E-03    2.7103747336E-04   -6.3813621811E-03    5.9618457462E-03    2.7103747336E-04    1.5204266478E-04    1.1875461167E-04    2.7103747336E-04
    1.0000000000E-01   -2.0000000000E+05   -1.7500000000E+05    0.0000000000E+00   -5.8909280019E-04   -1.9127066248E-04    2.7129742137E-04    6.1106731949E-03   -6.5198235739E-03    2.7129742137E-04   -6.1547671171E-03    6.4536646997E-03    2.7129742137E-04   -6.3396059275E-05    4.1486988995E-04    2.7129742137E-04
    1.0000000000E-01   -1.7500000000E+05   -1.7500000000E+05    0.0000000000E+00    1.6277053026E-04   -6.1725558432E-05    2.7307321626E-04    6.1084680520E-03   -6.6899300216E-03    2.7307321626E-04   -6.1730714154E-03    6.2906629955E-03    2.7307321626E-04    9.0010626177E-06   -4.3567055333E-05    2.7307321626E-04
